year;population
1840;8.128
1860;9.880
1880;10.000
1901;11.893
1911;13.459
1921;14.605
1930;16.901
1945;21.412
1961;33.700
1962;35.000
1963;36.400
1964;37.600
1965;39.200
1966;40.500
1967;41.900
1968;43.400
1969;44.900
1970;46.400
1971;47.200
1972;48.300
1973;49.000
1974;49.500
1975;49.600
1976;49.700
1977;49.400
1978;49.200
1979;49.600
1980;50.200
1981;51.000
1982;51.500
1983;52.100
1984;52.700
1985;53.200
1986;53.500
1987;54.100
1988;54.800
1989;55.300
1990;55.600
1991;55.500
1992;55.300
1993;55.200
1994;55.500
1995;55.800
1996;55.900
1997;56.000
1998;56.100
1999;56.100
2000;56.185
2001;56.379
2002;56.595
2003;56.751
2004;56.898
2005;56.935
2006;56.775
2007;56.555
2008;56.328
2009;56.323
2010;56.534
2011;56.890
2012;56.810
2013;56.483
2014;56.295
2015;56.114
2016;56.186
2017;56.172
2018;56.023
2019;56.225
2020;56.367
2021;56.653
2022;56.661
2023;56.865
2024;56.836
2025;56.831
